group,fine_class,index,pred,second_choice,u,tau,margin_below_tau,max_logit,max_softmax,plausible_targets,map_label
near,motorcycle,5572,automobile,truck,-8.61655,-5.77559,2.84096,8.61655,0.995977,automobile/truck,plausible
far,wardrobe,1944,truck,cat,-8.6113,-5.77559,2.8357,8.6113,0.994043,-,surprising
far,wardrobe,6413,truck,cat,-8.6057,-5.77559,2.83011,8.6057,0.98962,-,surprising
near,wolf,2842,cat,deer,-8.60478,-5.77559,2.82919,8.60478,0.99767,dog,surprising
near,pickup_truck,5715,automobile,truck,-8.59384,-5.77559,2.81825,8.59384,0.995208,automobile/truck,plausible
far,mushroom,7632,frog,cat,-8.59074,-5.77559,2.81515,8.59074,0.998556,-,surprising
near,pickup_truck,9662,automobile,truck,-8.58426,-5.77559,2.80867,8.58426,0.99809,automobile/truck,plausible
far,sunflower,8867,airplane,truck,-8.58232,-5.77559,2.80673,8.58232,0.999001,-,surprising
near,tractor,6430,truck,ship,-8.57508,-5.77559,2.79949,8.57508,0.991084,automobile/truck,plausible
near,wolf,6132,cat,dog,-8.56131,-5.77559,2.78572,8.56131,0.997827,dog,surprising
near,fox,1133,deer,cat,-8.5588,-5.77559,2.7832,8.5588,0.998553,dog/cat,surprising
far,keyboard,1495,cat,bird,-8.55432,-5.77559,2.77872,8.55432,0.996531,-,surprising
near,camel,540,deer,bird,-8.5509,-5.77559,2.77531,8.5509,0.983395,horse/deer,plausible
far,chair,7543,truck,automobile,-8.54449,-5.77559,2.7689,8.54449,0.998656,-,surprising
far,chair,6245,airplane,horse,-8.54152,-5.77559,2.76593,8.54152,0.999091,-,surprising
near,wolf,3731,dog,cat,-8.53655,-5.77559,2.76095,8.53655,0.998625,dog,plausible
far,wardrobe,5428,truck,ship,-8.53554,-5.77559,2.75995,8.53554,0.997392,-,surprising
near,wolf,4602,dog,cat,-8.52943,-5.77559,2.75384,8.52943,0.996927,dog,plausible
near,bus,822,truck,automobile,-8.52534,-5.77559,2.74975,8.52534,0.980117,automobile/truck,plausible
near,leopard,6395,frog,bird,-8.52135,-5.77559,2.74576,8.52135,0.997964,cat,surprising
far,wardrobe,328,truck,cat,-8.5191,-5.77559,2.74351,8.5191,0.99846,-,surprising
near,pickup_truck,4316,truck,automobile,-8.51753,-5.77559,2.74194,8.51753,0.993229,automobile/truck,plausible
far,mushroom,7619,cat,frog,-8.51418,-5.77559,2.73859,8.51418,0.998383,-,surprising
near,leopard,2570,cat,deer,-8.50409,-5.77559,2.7285,8.50409,0.998072,cat,plausible
far,wardrobe,194,cat,ship,-8.49079,-5.77559,2.7152,8.49079,0.997727,-,surprising
near,tractor,6807,truck,automobile,-8.48129,-5.77559,2.7057,8.48129,0.99894,automobile/truck,plausible
near,bus,3947,truck,horse,-8.47988,-5.77559,2.70429,8.47988,0.998098,automobile/truck,plausible
far,mushroom,3337,bird,cat,-8.47483,-5.77559,2.69924,8.47483,0.997512,-,surprising
far,mushroom,5646,bird,cat,-8.46793,-5.77559,2.69234,8.46793,0.998055,-,surprising
far,chair,6943,airplane,cat,-8.46619,-5.77559,2.69059,8.46619,0.998678,-,surprising
far,bottle,5993,cat,truck,-8.46191,-5.77559,2.68632,8.46191,0.997177,-,surprising
near,bus,5064,truck,ship,-8.45871,-5.77559,2.68312,8.45871,0.998312,automobile/truck,plausible
far,sunflower,9775,bird,airplane,-8.45808,-5.77559,2.68249,8.45808,0.998549,-,surprising
far,wardrobe,6809,truck,cat,-8.45612,-5.77559,2.68053,8.45612,0.988926,-,surprising
far,wardrobe,2915,truck,cat,-8.45427,-5.77559,2.67868,8.45427,0.994282,-,surprising
far,bowl,77,truck,automobile,-8.44747,-5.77559,2.67188,8.44747,0.995504,-,surprising
far,mushroom,1820,frog,bird,-8.44734,-5.77559,2.67175,8.44734,0.997378,-,surprising
near,bus,1143,truck,airplane,-8.44003,-5.77559,2.66444,8.44003,0.998509,automobile/truck,plausible
far,clock,4475,cat,automobile,-8.43525,-5.77559,2.65966,8.43525,0.992151,-,surprising
far,mushroom,5838,frog,deer,-8.4308,-5.77559,2.65521,8.4308,0.998195,-,surprising
near,pickup_truck,4821,automobile,truck,-8.41786,-5.77559,2.64227,8.41786,0.997469,automobile/truck,plausible
near,camel,900,deer,horse,-8.41703,-5.77559,2.64144,8.41703,0.998651,horse/deer,plausible
near,camel,9110,horse,deer,-8.41588,-5.77559,2.64029,8.41588,0.997552,horse/deer,plausible
near,leopard,8324,cat,deer,-8.41344,-5.77559,2.63785,8.41344,0.997097,cat,plausible
near,tractor,283,truck,automobile,-8.4088,-5.77559,2.63321,8.4088,0.999014,automobile/truck,plausible
far,wardrobe,797,truck,ship,-8.40823,-5.77559,2.63264,8.40823,0.997694,-,surprising
near,tractor,3532,truck,automobile,-8.40266,-5.77559,2.62706,8.40266,0.998737,automobile/truck,plausible
near,motorcycle,3054,airplane,automobile,-8.39276,-5.77559,2.61717,8.39276,0.996122,automobile/truck,surprising
near,pickup_truck,5317,automobile,truck,-8.38557,-5.77559,2.60998,8.38557,0.990513,automobile/truck,plausible
far,chair,2086,airplane,cat,-8.38034,-5.77559,2.60475,8.38034,0.997327,-,surprising
near,wolf,17,cat,dog,-8.37555,-5.77559,2.59996,8.37555,0.964505,dog,surprising
near,leopard,952,cat,frog,-8.36057,-5.77559,2.58498,8.36057,0.996899,cat,plausible
far,clock,4174,cat,frog,-8.36019,-5.77559,2.58459,8.36019,0.985332,-,surprising
far,clock,9303,automobile,cat,-8.35644,-5.77559,2.58085,8.35644,0.997854,-,surprising
far,wardrobe,4382,cat,truck,-8.35468,-5.77559,2.57909,8.35468,0.998319,-,surprising
far,keyboard,1052,cat,bird,-8.35383,-5.77559,2.57824,8.35383,0.996425,-,surprising
near,wolf,255,dog,cat,-8.35013,-5.77559,2.57454,8.35013,0.981513,dog,plausible
near,leopard,1994,frog,deer,-8.34844,-5.77559,2.57285,8.34844,0.997781,cat,surprising
far,wardrobe,3924,truck,cat,-8.34572,-5.77559,2.57013,8.34572,0.987614,-,surprising
far,wardrobe,4087,truck,cat,-8.34365,-5.77559,2.56806,8.34365,0.993976,-,surprising
far,clock,9533,bird,cat,-8.33549,-5.77559,2.5599,8.33549,0.992707,-,surprising
near,pickup_truck,2012,truck,automobile,-8.3332,-5.77559,2.55761,8.3332,0.996181,automobile/truck,plausible
near,bus,9252,truck,ship,-8.3307,-5.77559,2.55511,8.3307,0.975507,automobile/truck,plausible
far,wardrobe,8531,truck,cat,-8.32602,-5.77559,2.55043,8.32602,0.996654,-,surprising
near,bus,2698,automobile,truck,-8.32279,-5.77559,2.5472,8.32279,0.993956,automobile/truck,plausible
far,bowl,318,cat,dog,-8.32001,-5.77559,2.54442,8.32001,0.997625,-,surprising
near,motorcycle,5486,automobile,horse,-8.31773,-5.77559,2.54214,8.31773,0.997607,automobile/truck,plausible
near,bus,9572,truck,airplane,-8.30921,-5.77559,2.53361,8.30921,0.997825,automobile/truck,plausible
near,bus,4468,truck,automobile,-8.30876,-5.77559,2.53317,8.30876,0.989235,automobile/truck,plausible
near,bus,7812,truck,automobile,-8.30563,-5.77559,2.53004,8.30563,0.996432,automobile/truck,plausible
near,pickup_truck,2321,automobile,ship,-8.29778,-5.77559,2.52218,8.29778,0.998913,automobile/truck,plausible
near,pickup_truck,1327,automobile,truck,-8.28686,-5.77559,2.51127,8.28686,0.995805,automobile/truck,plausible
near,bus,9815,automobile,truck,-8.2847,-5.77559,2.50911,8.2847,0.996264,automobile/truck,plausible
near,leopard,58,cat,frog,-8.28399,-5.77559,2.50839,8.28399,0.997358,cat,plausible
near,pickup_truck,5437,automobile,truck,-8.27923,-5.77559,2.50364,8.27923,0.993852,automobile/truck,plausible
near,tractor,5696,truck,ship,-8.27504,-5.77559,2.49945,8.27504,0.997819,automobile/truck,plausible
far,wardrobe,3705,truck,cat,-8.26958,-5.77559,2.49399,8.26958,0.997522,-,surprising
near,fox,3823,cat,dog,-8.26842,-5.77559,2.49283,8.26842,0.994231,dog/cat,plausible
near,leopard,3549,deer,cat,-8.26726,-5.77559,2.49166,8.26726,0.992397,cat,surprising
near,bus,4998,truck,automobile,-8.26161,-5.77559,2.48602,8.26161,0.99525,automobile/truck,plausible
near,fox,4889,horse,deer,-8.25084,-5.77559,2.47525,8.25084,0.998855,dog/cat,surprising
far,chair,5683,airplane,horse,-8.24729,-5.77559,2.4717,8.24729,0.996765,-,surprising
far,chair,1525,airplane,truck,-8.2192,-5.77559,2.44361,8.2192,0.991451,-,surprising
near,camel,6778,dog,horse,-8.21885,-5.77559,2.44326,8.21885,0.996347,horse/deer,surprising
far,keyboard,5940,cat,airplane,-8.20529,-5.77559,2.42969,8.20529,0.997384,-,surprising
near,camel,2145,deer,horse,-8.20468,-5.77559,2.42909,8.20468,0.972165,horse/deer,plausible
near,leopard,7772,deer,cat,-8.19577,-5.77559,2.42018,8.19577,0.998422,cat,surprising
far,bottle,6440,truck,cat,-8.19124,-5.77559,2.41565,8.19124,0.975153,-,surprising
near,camel,1510,deer,bird,-8.17948,-5.77559,2.40389,8.17948,0.975735,horse/deer,plausible
far,sunflower,2831,frog,truck,-8.17126,-5.77559,2.39567,8.17126,0.997571,-,surprising
near,pickup_truck,9030,truck,automobile,-8.16437,-5.77559,2.38878,8.16437,0.996719,automobile/truck,plausible
near,fox,7248,dog,cat,-8.16291,-5.77559,2.38732,8.16291,0.997257,dog/cat,plausible
far,chair,4186,airplane,bird,-8.15436,-5.77559,2.37877,8.15436,0.986892,-,surprising
far,keyboard,8406,airplane,automobile,-8.15131,-5.77559,2.37572,8.15131,0.993852,-,surprising
near,wolf,9317,cat,dog,-8.15064,-5.77559,2.37505,8.15064,0.996071,dog,surprising
near,fox,6545,deer,cat,-8.14491,-5.77559,2.36932,8.14491,0.998315,dog/cat,surprising
near,bus,5015,truck,automobile,-8.1336,-5.77559,2.358,8.1336,0.991678,automobile/truck,plausible
far,chair,2152,bird,cat,-8.12379,-5.77559,2.3482,8.12379,0.997767,-,surprising
near,wolf,5781,cat,dog,-8.11928,-5.77559,2.34369,8.11928,0.998001,dog,surprising
near,leopard,5316,cat,bird,-8.11727,-5.77559,2.34168,8.11727,0.988709,cat,plausible
far,sunflower,6388,cat,bird,-8.07699,-5.77559,2.3014,8.07699,0.977652,-,surprising
far,chair,3293,airplane,truck,-8.07428,-5.77559,2.29869,8.07428,0.997708,-,surprising
near,wolf,2835,dog,cat,-8.06957,-5.77559,2.29398,8.06957,0.997227,dog,plausible
far,clock,5414,cat,horse,-8.06836,-5.77559,2.29277,8.06836,0.995363,-,surprising
far,wardrobe,1415,truck,cat,-8.06596,-5.77559,2.29037,8.06596,0.992975,-,surprising
near,pickup_truck,8966,automobile,truck,-8.0572,-5.77559,2.28161,8.0572,0.993445,automobile/truck,plausible
far,mushroom,6558,bird,deer,-8.05134,-5.77559,2.27575,8.05134,0.988871,-,surprising
far,bowl,163,automobile,airplane,-8.04587,-5.77559,2.27028,8.04587,0.997931,-,surprising
far,keyboard,6543,truck,cat,-8.03845,-5.77559,2.26286,8.03845,0.989541,-,surprising
near,leopard,5905,frog,bird,-8.0376,-5.77559,2.26201,8.0376,0.997529,cat,surprising
far,wardrobe,7607,truck,cat,-8.03299,-5.77559,2.2574,8.03299,0.966663,-,surprising
near,leopard,7427,cat,airplane,-8.02783,-5.77559,2.25224,8.02783,0.997579,cat,plausible
near,wolf,2340,cat,dog,-8.02543,-5.77559,2.24984,8.02543,0.994926,dog,surprising
far,sunflower,8475,bird,dog,-8.02322,-5.77559,2.24763,8.02322,0.995531,-,surprising
far,wardrobe,8740,cat,dog,-8.02141,-5.77559,2.24582,8.02141,0.996847,-,surprising
near,pickup_truck,9429,automobile,truck,-8.02062,-5.77559,2.24503,8.02062,0.986993,automobile/truck,plausible
far,clock,1982,automobile,ship,-8.01606,-5.77559,2.24047,8.01606,0.971145,-,surprising
near,tractor,2911,ship,horse,-8.00997,-5.77559,2.23438,8.00997,0.997784,automobile/truck,surprising
far,bottle,5810,ship,automobile,-8.00945,-5.77559,2.23386,8.00945,0.997283,-,surprising
near,wolf,3613,dog,deer,-8.00097,-5.77559,2.22538,8.00097,0.992527,dog,plausible
near,fox,338,dog,cat,-8.00069,-5.77559,2.2251,8.00069,0.952817,dog/cat,plausible
near,wolf,7752,cat,dog,-7.99102,-5.77559,2.21543,7.99102,0.997844,dog,surprising
near,pickup_truck,8219,automobile,truck,-7.98735,-5.77559,2.21176,7.98735,0.997961,automobile/truck,plausible
near,pickup_truck,4387,truck,automobile,-7.98591,-5.77559,2.21032,7.98591,0.994413,automobile/truck,plausible
near,leopard,6924,frog,cat,-7.98019,-5.77559,2.2046,7.98019,0.997588,cat,surprising
far,chair,30,airplane,cat,-7.97788,-5.77559,2.20229,7.97788,0.996477,-,surprising
near,camel,4234,deer,horse,-7.97221,-5.77559,2.19662,7.97221,0.992966,horse/deer,plausible
far,wardrobe,1641,truck,cat,-7.96826,-5.77559,2.19267,7.96826,0.991456,-,surprising
near,tractor,7884,ship,airplane,-7.94457,-5.77559,2.16898,7.94457,0.997371,automobile/truck,surprising
near,tractor,3177,truck,cat,-7.93802,-5.77559,2.16243,7.93802,0.997152,automobile/truck,plausible
near,camel,1060,horse,bird,-7.93537,-5.77559,2.15978,7.93537,0.997266,horse/deer,plausible
near,tractor,9288,truck,ship,-7.92178,-5.77559,2.14619,7.92178,0.998329,automobile/truck,plausible
far,bottle,6602,ship,airplane,-7.92036,-5.77559,2.14477,7.92036,0.997689,-,surprising
near,pickup_truck,36,truck,automobile,-7.91558,-5.77559,2.13999,7.91558,0.997712,automobile/truck,plausible
far,wardrobe,5643,truck,cat,-7.91323,-5.77559,2.13764,7.91323,0.994081,-,surprising
near,leopard,8904,frog,bird,-7.91095,-5.77559,2.13536,7.91095,0.975954,cat,surprising
far,keyboard,9766,cat,ship,-7.90462,-5.77559,2.12903,7.90462,0.993393,-,surprising
near,pickup_truck,9504,truck,automobile,-7.89971,-5.77559,2.12412,7.89971,0.996537,automobile/truck,plausible
near,tractor,5445,truck,automobile,-7.89613,-5.77559,2.12054,7.89613,0.989219,automobile/truck,plausible
far,chair,2965,airplane,horse,-7.89452,-5.77559,2.11893,7.89452,0.997701,-,surprising
far,sunflower,8616,bird,cat,-7.88802,-5.77559,2.11243,7.88802,0.987213,-,surprising
near,wolf,1026,dog,cat,-7.88753,-5.77559,2.11194,7.88753,0.995055,dog,plausible
far,mushroom,9847,bird,deer,-7.88298,-5.77559,2.10739,7.88298,0.961798,-,surprising
far,keyboard,6131,truck,airplane,-7.87699,-5.77559,2.1014,7.87699,0.994455,-,surprising
far,sunflower,788,bird,truck,-7.86593,-5.77559,2.09034,7.86593,0.997093,-,surprising
near,camel,2946,dog,deer,-7.84174,-5.77559,2.06615,7.84174,0.99618,horse/deer,surprising
near,tractor,2029,truck,deer,-7.84077,-5.77559,2.06518,7.84077,0.997758,automobile/truck,plausible
near,fox,6469,deer,frog,-7.83563,-5.77559,2.06004,7.83563,0.980296,dog/cat,surprising
near,fox,2349,deer,cat,-7.82634,-5.77559,2.05075,7.82634,0.976893,dog/cat,surprising
near,tractor,9259,truck,ship,-7.82458,-5.77559,2.04899,7.82458,0.995964,automobile/truck,plausible
far,clock,1163,airplane,cat,-7.82329,-5.77559,2.0477,7.82329,0.997015,-,surprising
near,motorcycle,5430,truck,automobile,-7.81902,-5.77559,2.04343,7.81902,0.990719,automobile/truck,plausible
near,wolf,7308,dog,cat,-7.81698,-5.77559,2.04139,7.81698,0.990275,dog,plausible
near,wolf,7375,cat,dog,-7.81288,-5.77559,2.03729,7.81288,0.994835,dog,surprising
near,pickup_truck,1212,automobile,truck,-7.81064,-5.77559,2.03505,7.81064,0.991121,automobile/truck,plausible
near,motorcycle,3558,automobile,frog,-7.79875,-5.77559,2.02316,7.79875,0.996715,automobile/truck,plausible
near,pickup_truck,2421,truck,automobile,-7.79567,-5.77559,2.02008,7.79567,0.994425,automobile/truck,plausible
near,camel,8834,dog,bird,-7.79227,-5.77559,2.01668,7.79227,0.992752,horse/deer,surprising
near,tractor,3913,truck,cat,-7.78221,-5.77559,2.00662,7.78221,0.994379,automobile/truck,plausible
near,camel,1588,dog,bird,-7.78094,-5.77559,2.00535,7.78094,0.984571,horse/deer,surprising
near,fox,7621,deer,cat,-7.7801,-5.77559,2.00451,7.7801,0.985136,dog/cat,surprising
far,mushroom,5944,cat,deer,-7.77946,-5.77559,2.00387,7.77946,0.994788,-,surprising
near,wolf,6178,dog,cat,-7.7754,-5.77559,1.99981,7.7754,0.996813,dog,plausible
near,motorcycle,5175,truck,automobile,-7.77406,-5.77559,1.99847,7.77406,0.990526,automobile/truck,plausible
near,tractor,1976,truck,cat,-7.77308,-5.77559,1.99749,7.77308,0.997162,automobile/truck,plausible
near,bus,8663,truck,automobile,-7.77023,-5.77559,1.99464,7.77023,0.996009,automobile/truck,plausible
near,pickup_truck,8165,automobile,truck,-7.76487,-5.77559,1.98928,7.76487,0.966516,automobile/truck,plausible
far,sunflower,5742,frog,truck,-7.76476,-5.77559,1.98917,7.76476,0.991919,-,surprising
far,bottle,3232,ship,truck,-7.76182,-5.77559,1.98623,7.76182,0.997255,-,surprising
far,clock,6490,automobile,ship,-7.74263,-5.77559,1.96703,7.74263,0.994098,-,surprising
near,fox,1498,cat,frog,-7.72869,-5.77559,1.9531,7.72869,0.995305,dog/cat,plausible
near,leopard,8334,frog,cat,-7.72361,-5.77559,1.94802,7.72361,0.994131,cat,surprising
far,clock,8572,automobile,ship,-7.72249,-5.77559,1.9469,7.72249,0.980564,-,surprising
near,wolf,2064,dog,deer,-7.71436,-5.77559,1.93877,7.71436,0.994424,dog,plausible
far,mushroom,3305,frog,automobile,-7.70969,-5.77559,1.9341,7.70969,0.99588,-,surprising
near,leopard,1084,deer,cat,-7.7034,-5.77559,1.92781,7.7034,0.989285,cat,surprising
near,tractor,321,truck,automobile,-7.69984,-5.77559,1.92425,7.69984,0.997151,automobile/truck,plausible
near,camel,2051,horse,cat,-7.6958,-5.77559,1.92021,7.6958,0.984545,horse/deer,plausible
far,mushroom,5354,bird,deer,-7.69387,-5.77559,1.91827,7.69387,0.986272,-,surprising
near,wolf,4378,dog,cat,-7.68347,-5.77559,1.90788,7.68347,0.900554,dog,plausible
near,camel,6475,horse,bird,-7.68074,-5.77559,1.90515,7.68074,0.992716,horse/deer,plausible
near,motorcycle,6547,automobile,cat,-7.6767,-5.77559,1.90111,7.6767,0.99684,automobile/truck,plausible
near,leopard,6735,cat,frog,-7.6765,-5.77559,1.9009,7.6765,0.993162,cat,plausible
near,pickup_truck,3630,truck,automobile,-7.67586,-5.77559,1.90027,7.67586,0.98224,automobile/truck,plausible
near,leopard,1570,cat,frog,-7.67551,-5.77559,1.89992,7.67551,0.993176,cat,plausible
near,pickup_truck,5568,truck,automobile,-7.67197,-5.77559,1.89638,7.67197,0.983314,automobile/truck,plausible
near,bus,4426,automobile,truck,-7.67133,-5.77559,1.89574,7.67133,0.993778,automobile/truck,plausible
far,wardrobe,9307,cat,truck,-7.6677,-5.77559,1.89211,7.6677,0.996767,-,surprising
far,bottle,1562,bird,ship,-7.66332,-5.77559,1.88773,7.66332,0.996907,-,surprising
near,wolf,8407,cat,dog,-7.66009,-5.77559,1.8845,7.66009,0.990378,dog,surprising
far,keyboard,1642,airplane,truck,-7.65825,-5.77559,1.88266,7.65825,0.991308,-,surprising
far,wardrobe,5587,truck,cat,-7.65554,-5.77559,1.87995,7.65554,0.996547,-,surprising
far,chair,2576,airplane,truck,-7.65107,-5.77559,1.87548,7.65107,0.98602,-,surprising
far,keyboard,5659,truck,bird,-7.64331,-5.77559,1.86772,7.64331,0.997042,-,surprising
far,wardrobe,3853,truck,cat,-7.64161,-5.77559,1.86602,7.64161,0.800609,-,surprising
near,wolf,1752,cat,deer,-7.6413,-5.77559,1.8657,7.6413,0.991584,dog,surprising
near,fox,4003,deer,cat,-7.64108,-5.77559,1.86549,7.64108,0.985233,dog/cat,surprising
far,bottle,1899,cat,bird,-7.63853,-5.77559,1.86294,7.63853,0.992478,-,surprising
near,leopard,9238,frog,deer,-7.63702,-5.77559,1.86143,7.63702,0.991214,cat,surprising
near,fox,3608,cat,deer,-7.63041,-5.77559,1.85482,7.63041,0.993863,dog/cat,plausible
near,bus,3868,automobile,truck,-7.62993,-5.77559,1.85434,7.62993,0.964652,automobile/truck,plausible
near,wolf,9965,dog,cat,-7.62966,-5.77559,1.85407,7.62966,0.99246,dog,plausible
far,keyboard,5777,airplane,bird,-7.6232,-5.77559,1.84761,7.6232,0.997676,-,surprising
far,mushroom,433,deer,bird,-7.62071,-5.77559,1.84512,7.62071,0.994827,-,surprising
near,camel,3319,dog,horse,-7.61933,-5.77559,1.84374,7.61933,0.988568,horse/deer,surprising
far,bowl,4471,frog,automobile,-7.61669,-5.77559,1.8411,7.61669,0.990901,-,surprising
far,bottle,9357,ship,bird,-7.61433,-5.77559,1.83874,7.61433,0.995674,-,surprising
far,bowl,7784,cat,frog,-7.61229,-5.77559,1.8367,7.61229,0.977025,-,surprising
near,bus,8596,truck,automobile,-7.60366,-5.77559,1.82807,7.60366,0.984989,automobile/truck,plausible
near,camel,6616,dog,cat,-7.59276,-5.77559,1.81717,7.59276,0.997483,horse/deer,surprising
near,pickup_truck,578,automobile,truck,-7.58106,-5.77559,1.80547,7.58106,0.990826,automobile/truck,plausible
near,fox,2756,cat,dog,-7.57701,-5.77559,1.80142,7.57701,0.985818,dog/cat,plausible
near,fox,3607,deer,dog,-7.57674,-5.77559,1.80115,7.57674,0.99338,dog/cat,surprising
near,fox,8405,deer,horse,-7.57477,-5.77559,1.79918,7.57477,0.984126,dog/cat,surprising
near,tractor,921,truck,automobile,-7.56902,-5.77559,1.79343,7.56902,0.995834,automobile/truck,plausible
near,fox,4621,deer,frog,-7.56732,-5.77559,1.79173,7.56732,0.983272,dog/cat,surprising
far,mushroom,168,bird,cat,-7.557,-5.77559,1.7814,7.557,0.993534,-,surprising
near,bus,9930,truck,automobile,-7.55636,-5.77559,1.78077,7.55636,0.952112,automobile/truck,plausible
far,sunflower,8736,bird,cat,-7.55145,-5.77559,1.77586,7.55145,0.991648,-,surprising
far,chair,3186,airplane,cat,-7.54854,-5.77559,1.77295,7.54854,0.995788,-,surprising
near,wolf,4470,cat,dog,-7.5446,-5.77559,1.76901,7.5446,0.994921,dog,surprising
near,motorcycle,6343,truck,automobile,-7.54394,-5.77559,1.76835,7.54394,0.992966,automobile/truck,plausible
far,clock,6269,cat,ship,-7.5431,-5.77559,1.7675,7.5431,0.990999,-,surprising
far,clock,7933,truck,automobile,-7.54211,-5.77559,1.76652,7.54211,0.985842,-,surprising
near,tractor,2871,truck,ship,-7.54195,-5.77559,1.76636,7.54195,0.994656,automobile/truck,plausible
near,leopard,1771,deer,cat,-7.53813,-5.77559,1.76254,7.53813,0.958928,cat,surprising
near,leopard,4320,cat,ship,-7.5342,-5.77559,1.75861,7.5342,0.98699,cat,plausible
far,chair,4847,bird,cat,-7.53361,-5.77559,1.75802,7.53361,0.992346,-,surprising
near,camel,5249,dog,cat,-7.52642,-5.77559,1.75083,7.52642,0.977188,horse/deer,surprising
near,tractor,2992,ship,truck,-7.5254,-5.77559,1.74981,7.5254,0.984216,automobile/truck,surprising
far,mushroom,963,deer,frog,-7.5232,-5.77559,1.74761,7.5232,0.970339,-,surprising
near,fox,2435,cat,dog,-7.52281,-5.77559,1.74722,7.52281,0.975033,dog/cat,plausible
far,mushroom,3352,bird,deer,-7.51661,-5.77559,1.74102,7.51661,0.993505,-,surprising
near,fox,6816,dog,cat,-7.4809,-5.77559,1.70531,7.4809,0.995874,dog/cat,plausible
near,camel,1687,dog,deer,-7.48019,-5.77559,1.7046,7.48019,0.988657,horse/deer,surprising
far,bottle,9967,dog,truck,-7.46206,-5.77559,1.68647,7.46206,0.990327,-,surprising
near,camel,5293,horse,dog,-7.46,-5.77559,1.68441,7.46,0.963971,horse/deer,plausible
far,wardrobe,7694,cat,ship,-7.45921,-5.77559,1.68362,7.45921,0.994334,-,surprising
near,motorcycle,8627,automobile,truck,-7.44709,-5.77559,1.6715,7.44709,0.988336,automobile/truck,plausible
near,motorcycle,1463,automobile,cat,-7.44182,-5.77559,1.66623,7.44182,0.974785,automobile/truck,plausible
near,camel,8604,deer,bird,-7.43805,-5.77559,1.66246,7.43805,0.966805,horse/deer,plausible
near,bus,9546,truck,ship,-7.43791,-5.77559,1.66232,7.43791,0.973768,automobile/truck,plausible
far,clock,4321,truck,airplane,-7.43443,-5.77559,1.65884,7.43443,0.994545,-,surprising
near,leopard,6409,cat,deer,-7.43375,-5.77559,1.65816,7.43375,0.993703,cat,plausible
near,tractor,9807,automobile,truck,-7.42903,-5.77559,1.65344,7.42903,0.971163,automobile/truck,plausible
far,sunflower,5861,frog,bird,-7.41839,-5.77559,1.6428,7.41839,0.990217,-,surprising
near,pickup_truck,8693,automobile,truck,-7.41374,-5.77559,1.63815,7.41374,0.956392,automobile/truck,plausible
far,bowl,3952,dog,cat,-7.41229,-5.77559,1.6367,7.41229,0.991912,-,surprising
far,mushroom,8549,frog,dog,-7.40779,-5.77559,1.6322,7.40779,0.995217,-,surprising
far,wardrobe,2715,truck,cat,-7.37073,-5.77559,1.59514,7.37073,0.957389,-,surprising
near,tractor,5189,automobile,truck,-7.36887,-5.77559,1.59328,7.36887,0.982603,automobile/truck,plausible
near,motorcycle,354,automobile,frog,-7.36709,-5.77559,1.5915,7.36709,0.985511,automobile/truck,plausible
near,pickup_truck,5129,automobile,truck,-7.36698,-5.77559,1.59139,7.36698,0.873137,automobile/truck,plausible
far,wardrobe,4034,truck,cat,-7.36271,-5.77559,1.58712,7.36271,0.925564,-,surprising
near,leopard,5819,cat,truck,-7.36068,-5.77559,1.58509,7.36068,0.99343,cat,plausible
near,wolf,471,cat,frog,-7.3599,-5.77559,1.58431,7.3599,0.987006,dog,surprising
near,bus,6791,ship,airplane,-7.35978,-5.77559,1.58419,7.35978,0.98917,automobile/truck,surprising
far,wardrobe,5082,truck,cat,-7.34364,-5.77559,1.56805,7.34364,0.765244,-,surprising
far,bottle,6472,ship,bird,-7.34303,-5.77559,1.56744,7.34303,0.968724,-,surprising
near,tractor,8580,truck,ship,-7.34121,-5.77559,1.56562,7.34121,0.96742,automobile/truck,plausible
far,clock,451,ship,cat,-7.33587,-5.77559,1.56028,7.33587,0.92417,-,surprising
far,chair,3568,bird,deer,-7.32602,-5.77559,1.55043,7.32602,0.994506,-,surprising
near,tractor,6866,truck,horse,-7.32109,-5.77559,1.5455,7.32109,0.991701,automobile/truck,plausible
far,wardrobe,5565,cat,deer,-7.31559,-5.77559,1.53999,7.31559,0.984764,-,surprising
near,pickup_truck,7570,truck,automobile,-7.29849,-5.77559,1.52289,7.29849,0.876892,automobile/truck,plausible
far,wardrobe,4466,truck,cat,-7.29207,-5.77559,1.51648,7.29207,0.862358,-,surprising
far,bottle,4077,cat,horse,-7.28955,-5.77559,1.51396,7.28955,0.992276,-,surprising
near,fox,7973,cat,deer,-7.27864,-5.77559,1.50305,7.27864,0.994589,dog/cat,plausible
far,mushroom,8701,dog,cat,-7.27681,-5.77559,1.50122,7.27681,0.938281,-,surprising
far,bottle,1514,ship,cat,-7.27161,-5.77559,1.49602,7.27161,0.98299,-,surprising
near,wolf,8634,cat,frog,-7.2712,-5.77559,1.49561,7.2712,0.977306,dog,surprising
far,keyboard,8233,dog,automobile,-7.26707,-5.77559,1.49148,7.26707,0.99556,-,surprising
near,leopard,7367,cat,frog,-7.26608,-5.77559,1.49049,7.26608,0.981038,cat,plausible
near,pickup_truck,3933,automobile,truck,-7.26272,-5.77559,1.48713,7.26272,0.983668,automobile/truck,plausible
